,Comment
789,"Superb phone, first time using such bulky and costly phone. Looks absolutely premium and works very smoothly.Played pubg on this mobile with Gaming mode ON, gaming felt so effortless and visuals where so rich and made me happy."
790,"Overall build quality is not as publicized, Fingerprint sensor not fast as mentioned, user experience not as otherhigh-end phones."
791,This is the best phone one can have. The only issue i am facing is with respect to battery life. After full charge i am getting battery backup of only 12-14 hours. Something is not right here.
792,"At first the finger print reader would work slow, not that I got used to, but it's inbuilt adaptive learning algorithms make it faster over the time. Camera works well. Overall pretty awesome."
793,Phones good.. wish they supplied a type-c headphones with it. Phone is snappy in terms of opening apps and while scrolling it's like butter smooth... Battery life is avg depending on how you set the mode of display and refresh rate.
794,It's awesome..was in doubt before buying cuz of reviews but trust me.. fingerprint reader won't work if your fingers are dirty... camera is perfect and I'm not even picking my dslr these days now.battery life is decent and gaming is flawless..
795,It is one plus. Only one drawback battery will drain fast when you're using game mode.
796,"The phone is a bit heavy to use and it takes time to get a hang of it but the screen is awesome camera is great  the fingerprint scanner is really very fast and so is face I'd, it have a great four thousand mAh battery life which will easily get you through your day and the charging speed is really great."
797,"Phone is great i really loved it its speed ,camera, gamming everything is ausome l. Just one thing i was disappointed about is charging one plus says it charges in 20 mins but actually it takes around an hour to charge."
798,Good camera in day lite and night lite very good picture come. Battery life too good. Charger is very quick.
799,"Fingerprint reader can be improved which helps the user to avoid more waiting time and when it comes to camera quality it's quite good yet it's being improved and hope would be fine. Other specifications are upto the mark , yet bugs need to be fixed..."
800,"No words to speak about OP7 Pro, Extraordinary Phone, Best Premium smartphone of Oct 2019"
801,Yes it is buttery smooth and feels premium.Display and sound are perfect. Camera needs slight improvement. Software updates can help in improving camera. Still does the job in the camera department. But loving my nebula blue.
802,Battery life is very bad and phone performance is not good same time phone is hinging
803,Really awesome handset. Awesome battery performance.no heating issue. No lagging. I just love it
804,By far my best purchase !!! I switched from pixel 2xl to OnePlus 7 pro 1 week back and only in camera aspect pixel is better in every remaining aspect one plus 7 pro is best go for it !!
805,Finger print reader works well camera quality is good and battery life could have been more better.
806,Phone is start hang
807,Camera quality is very good but battery life is horrible
808,"designing is good; battery life should be extended- 5000 M ah. Finger print sensor is Normal, nothing special about it. Over all Good.  Hope one plus will offer Android update for P."
809,One plus7 pro is amazing phone with curved screen had a lot of expectation to camera. But didnt get the result as i was expecting still this phone deserves 4 star for the rest of all feature especially face recognition.
810,"Its been one month since I am using it. Sometimes the warp charge doesnt work - due to faulty USB cable. Other than that 100% satisfied with the product.  For this much of a price,  they should have included the headphones also"
811,Product was good and fast and awesome  but i request to amazon customer service to dieliever it with proper i have to go to office for riecieving my product.
812,"Phone was used, may be Refurbished .... Beware"
813,"The display itself is enough to buy this phone. Fast, smooth and brilliant to use. Camera has improved drastically.the colors are brilliant and hdr/2k content is a dream to watch"
814,Phone got so heat after 5 min when we talk.
815,Camera is not up to the marksBattery is also draining fastSpeed is superebSound quality is superebCharging speed is goodOverall a good phone.Hope to improve in camera quality in some updates
816,Ive been using this phone and its been a year now.Battery life seems to be down.it decreases speedly but my usage is also high.So its acomplete phone if u are a mediator user.The best among androids for sure.
817,Only concern is OnePlus give local screen guard which gets damaged in 15 days.
818,The touch sensitivity of the figer print reader is not fast and requires multiple attempts but the Camera and Battery is really good at this price range! OnePlus 7 Pro is really a wonderful phone!
819,"An absolute beast of a phone. It is big, bulky and beautiful. Super smooth, no matter how many apps are open."
820,i loved this phone in every aspect. battery life for gaming could be better..
821,Phone is awesome.display is fantasticbut camera lags a lot. images are blurry while taking it in a low light conditions.price is quite high for 6 GB RAM . BUT OVERALL GOOD PHONE
822,One of the best phone in around 43k.Battery & camera are perfectly fineScreen quality is above the world and that 90z is butter smooth.Actually I use OnePlus 3t before buying this phone.But I say this phone is awesome
823,"All rounder of mobiles. Charging speed vry fast.sound quality is superb its Dolby atmos. Front camera video is not good, it's zoomed automatically. Rear camera is pretty good. I liked its curved display.."
824,Very bad box delivery
825,Camera quality is not up the mark. Regarding battery no words to say. Pure blunder taking this phone. Charging very slowly(OnePlus shouldn't call it as dash charging) and battery drains very fast compared to previous models.
826,Camera clearly is superb. But fingerprint reader & face reader don't work properly everytime.
827,"Wow phone.... I love it.Thank you garima, for this beautiful Gift"
828,"After the replacement, the camera is again gone bad.. too much noise in the pictures.Brought the phone only for camera resolution reason as primary, however now disappointed within a year it's again gone bad"
829,Poor quality of Fingerprint reader. Additional expense of buying headphone. Minimum Accessories provided. Poor quality touch screen. Not worth spending that much money. Better phones available in market.
830,Everythings great about this phone. I dont know why Indian people have tendency of writing pathetic things about products. Anyway I love this phone and it is much better than iphone 11 pro in terms of display and performance.
831,If you can get over the fact that the phone is huge and heavy and the camera quality is sort of average. It's a pretty nice option. That display is really game changer. It's really that fluid. And it's performance is top notch.
832,"Once you start using OnePlus, there is no going back"
833,"1. Battery life is average.2. Display is not bright, outdoor visibility is very poor.3. Camera quality is good enough."
834,this handset is not proper workinng any system
835,"Really, the speed surprised me with more than expected. The SD855, 90Hz screen and QHD display are really awesome. Battery optimisation can be done. And WRAP charge is superb."
836,Am a recent change over from iOS to Android ..Must admit .. this is a rock solid competitor to iPhone..My only concern is battery seems to discharge fast on consumption or may be am being used to android
837,The phone is packed with all those futuristic stuff that you need!That 90hz display is where one can get habitat and never use 60hz again anymore!The only issue I had was the phone box was crumpled a but and the scratch guard had a scratch on it in the box!
838,Selfie camera worst only this mobile...I before used OnePlus 6t that camera celerity was superb..I compared another OnePlus 7 pro selfie was superb only this mobile selfie camera only problem...I want replacement
839,"This one plus Is a bit on the heavier side, battery could have been better. But the things that you'll about this phone is the display and the sound quality.Though the camera is a head turner, but it could be improved."
840,A good phone with excellent battery backup... Camera is good but not excellent...
841,"It's been not even a month, I can see dust accumulation in 3x camera. Didn't expect this from a flagship!"
842,Although phone struggled with the fingerprint reader during the first two days. Now it is quite okay.The display is beyond comparable.Improved camera quality and speaker outputOverall quite satisfied.
843,"Using almost 3 months now, excellent camera quality both front and back cameras. Screen clarity is awesome i can say. Only issue is battery life u have to charge two times a day."
844,"Camera quality is awesome 👌, I am writing this review after 3 months of purchasing, earlier the battery backup were good, now the battery is discharging quick, This is happening after updating the software."
845,"Its awesome, no words to say about OnePlus...a great experience....mind blowing...camera, processor, battery backup,touch experience,sound,etc...are fantastic...."
846,"Camera quality is very good after update , finger print reader excellent , Display sooperb... battery backup complete 1 day for avg user...finally 5 rated except battery"
847,Performance is nothing for this beast 💪 camera godbattery good played pub g for 4 hour non stop at HDR setting while recoding gameplay at 1080p Iam realy satisfied with this beast
848,Big network issue in this phone
849,The product came with a defective phone back cover. The customer service at Amazon was bad! And i could not get it replaced.
850,"This device is a beast. Blazing fast, super AMOLED display, super camera, best battery backup with warp charger. It's my third one plus device."
851,A complete package phone by OnePlus as usual. The fingerprint scanner is the fastest and the touch n feel of the screen is superb. The screen is really really awesome.
852,Most elegant and classy look....8+256GB one plus 7pro blue color.Excellent functioning
853,I am very disappointing with OnePlus 7 pro battery... It is drain to fast .. after some analysis the battery going to drain 3 minutes per % with normal usage... Worst battery life ...I am returning this device
854,It's very friendly and super phone in India for Indian customers.this phone is very super and nuce.but screen protector should be provided by one plus.but this is the only drawback.other than that everything is good
855,"Works smoothly without any glitches. Battery life is spectacular. Fingerprint scanner is not very sensitive and could do with some improvement. Camera is exceptional. I love the user interface. Overall, a great buy!"
856,Mind blowing phone at a good priceExcillent cameraMore thn Excillent OSNice curve displayWarp charging is fast in 20 mins u will get 70% of juiceBackup is the only downside of the phone
857,"Camera isn't that good, getting minor lags after 2 months of usage, finger print reader is okOnly good part - screen"
858,Best gaming phone
859,"It's the fastest phone I have ever used. So far loving this phone a lot. Barring the headphone jack, i love everything about this phone"
860,The Mobile wasn't charge properly
861,Camera quality is not that good as compared to OnePlus 5T. It needs improvement. Fingerprint reader is good. Battery life is good but needs charging every day n depends on your phone usage.
862,Best mobile at this price point. I have been a oneplus fan since the first mobile. Keep it up!
863,"I had purchased the device on 24th May and now my handset's back-screen was broken, As per billing there was 1 yrs warranties of the device, Kindly suggest me the procedure to replace or repair the mobile set."
864,It's been an awesome experience with one plus 7 pro.. performance is great .If you have some budget then go for one plus blindly..But my opinion if the camera have a macro lens then it's could be more better..
865,"From the moment I hold this phone in my hands, this phone has exceeded expectations. This is BEYOND SPEED. 90Hz refresh rate is amazing. You can feel the difference."
866,"The phone is just awesome. the looks, its performance, everything.The only con is that there is no earphone jack also the do not provide audio adapter converter like they used to provide it with earlier models."
867,last year i bought this for my sister ... and after complete use I can say this is very good and value for money ....
868,Battery should have been min 4500 mah for such a flagship phone.A very average battery life but apart from this a very good phone.
869,Overall product is good. But scratch guard of phone was nt placed properly on phone bcz of wid when put in cover air was getting into scratch guard. Bill invoice is also nt printed properly. Bad amazon services
870,This is amazing. But I didn't get bullet wireless headset.
871,The battery life is average eventhough the screen resolution is kept to 60HZ with FHD+ mode. Apart from that a good gadget beast which meets all your day today needs!
872,You pay fking 53k and don't get headphones or type C to 3.5 mm adaptor that really annoying.Camera is still average not the best.Battery backup is average too.Too much thicker and heavier too.
873,Love it. Absolutely love it. Better than any other phone in the segment. Zero issues with any feature. Do buy.
874,One among the best phone a have ever used!Totally worth the for the money paid.
875,Battery life is worst and worst not worth of money tooo high cost and the battery doesn't remain for 6hrs I make my battery 100% and check it out after 40min it shows me 80% got bored and bothered
876,Amazon as always delivered the product very fast. The product had a bill and a secure OTP for getting the delivery.No defects in the phone. A charger was given with the phone. Great product.
877,"I was an iPhone user, i have sold it out and bought 1plus 7pro. It is a good value for money.It has all the features that are required in a good android phone. Camera quality is best and it's a power house."
878,"Overall full value for money, Camera is good not so great with this price range Performance is excellent, no hang or leg."
879,It's one of the greatest phone I have ever seen and used ...Better then iphone in every wayGreat battery lifeOutstanding performanceVery happy with the product 😊
880,Camera quality is worst. Battery life and display is superb. Not worth buying
881,Nice cell
882,"Good for picture quality, to watch movies.Massive superb displayPop up camera is not fast as expected.Face unlocking is less faster than honor 8x."
883,Finger print reader in my phone gets freezed at times and doesn't work unless restarted again... At times doesn't detect my pinger print though finger placed correctly... :(
884,"OnePlus users, don't look for reviews to buy phone. Just go by the hype. Better than 7T. < 7T pro"
885,"One plus note 7 pro is an outstanding phone, camera quality, speed is excellent but the battery backup is so poor. After 3 to 4 hour while operating on internet, full battery was discharged..."
886,Amazing phone! Earlier I was using apple.. lots of people were like if u have used apple it's hard to get adjusted to Android but I'm finding the 1+7 pro a pretty neat and user friendly phone!
887,It is the best phone that gives you the biggest bang for your buck. Mind-blowing features coupled with a long lasting battery makes this phone a worthy contender for Android Smartphone of the Year 2019!
888,"Fabulous phone. Excellent quality, awesome screen display, excellent performance, camera quality awesome, finger prints super fast, battery life excellent and charging battery very fast.... Go for it..."
889,"Everything is good, fingerprint sensor work so fast, camera and daily/gaming performance is so good."
890,"This phone is really awesome.48k is a bit expensive Price.40k would be the best price for the product.Loved the camera quality, sound quality, display is wonderful."
891,"Dear Team,My new phone got an update request which i updated but after update the phone is not functioning and it is not on at all. I don't know what to do. Help me out.."
892,This is the first time I am using one plus handset and it is the best in the market as android phones go.
893,No return
894,"Fingerprint sucks, Instagram stories bugs, the camera too often pop up on Instagram.battery life not up to the mark.The performance of the device is good."
895,"Excellent camera, face unlock is lightning speed amazing mobile overall coming to browsing super speed compared to all flagship mobiles in android"
896,Amazing Phone... Flagship latest phone.As always OnePlus rules on the flagship phones market. Really liked the pop up selfie. Great battery life. So smooth display. And best is the edge view.
897,"One plus7 pro is just the phone I wanted. I strongly believe this is one of the best phones I have ever used. The camera is just amazing, the processor is too good.... With an amazing look!!!"
898,"wonderful but battery drains early,And gets slightly heated while video graphy being conducted."
899,"The device is so good, every thing is nice, but the battery and camera is not up to the mark, one plus have to work on it. Overall the performance is awesome, and in the matter of looks, it is cool 😎."
900,"Even after having 10 layer liquid cooling , it is heating."
901,Liked the overall look and performance of this masterpiece. Finally I've got a reason that there are better options than iPhone. Thanks One Plus.
902,"Without doubt, it's a beast.Only concern is weight and gaming UI, it will cut down the corners. Lots of setting required."
903,Phone is no doubt a great deal. Also little disappointment is that it doesn't have an ear phone jack slot. Bluetooth headphones available online are either too costly or are not trust worthy.
904,Worst experience with Amazon... Application like what's app is strucking and initially it had a booting problem also... I will never buy gadgets in Amazon hereafter.. worst experience 😠😠😠😠😠😠😠😠
905,"Excellent performance , build quality, screen and speakers.Only disappointed by the lack of type c to 3.5 mm jack"
906,"Beautiful phone, best camera , you can't believe the clarity and colours in photos, Dolby Atmos sound quality is exceptional, I'm in love with this phone"
907,On first order phone was not even booting. Later on product was replaced and this phone also started hanging.
908,Soo much expensive as per money...
909,Absolutely amazing and blazing fast...truely admirable just go for the almond its flawless...looks elegent and shiny
910,No 1 3rd class handset this i already used OnePlus 5t so again i get new OnePlus 7pro but it's very very 3rd class handset not goodVery slow not good working i want to do return this mobile
911,Great all rounder.  Camera quality is good not the best but can compete with the best.  Screen is beautiful.  A true flagship.
912,Camera Quality need improvement
913,wonder fully amazing...only battery issue
914,Oneplus 7 Pro has been the Best Flagship Killer. It is Pricey But worth the money you put fot it.
915,"Sexy design and finishing.It gives you grand look! Mobile Camera and audio, video quality is number One. Keep it up OnePlus!"
916,Really great phone for the price range way better than XR and S10e.
917,"After 20 days using Lot to improve in camera , compare to 6T this camera performance is very poor even though it's a 48 mega pixel .Iam disappointed with main camera performance"
918,Worth every penny. Premium camera quality. Impeccable display. Finely crafted design. Lightening fast. What else does one want from a phone.
919,💯 out of 💯 for battery life.Fastest fingerprint reader I have ever use.One of the bestest camera ❤️Just love in it
920,"Beautiful curves, faster than ever, but need to have color options in 6 gb ram I would  love to have  nebula blue"
921,"After a while, this one tempted to spend some amount,which turned out worth it's cost. It's definitely bit heavy, however so far whatever assured has been delivered. Proud owner of #oneplus."
922,Just.....WOW.....Brand Name is Enough To Say About Mobile.....Just... Amazing.....👍👍👍👍👍👍👍👍👍👍👍
923,"Product is good, but there is asetback with the sbi cc card offer.Dont go with the sbi card offer, amazon shows no cost emi, but actually in cc bill the interest is added."
924,Superb build quality and good camera quality. The screen is super smooth and fast. 90Hz refresh rate is amazing. Fingerprint sensor is slow and needs some improvement. Worth the wait!
925,Good but oppo and I phone compairing with 1+
926,Phone is working properly but some time double tap to wake up is working properlyAnd many times camera colour is yellow but still one plus update this problem is solved thankx to 1 +
927,"Hi ,I have purchased this and in one month Mike is not working.Please support."
928,"Camera is superb,operating is lightening fast."
929,So far so good. Love it. Awesome product. Worth buying it.
930,"Asusual, one of the best product by OnePlus. I personally prefer OnePlus over any other Android phone.Feels little thick after placing its transparent back cover."
931,"If it's a flagship killer, then it should be more value for money. Design should be more slimmer and less curvey. Camera should be more fine and accurate."
932,One plus has lost the originality as it was providing the best high configuration devices at bit value priced at it but I feel it is now taken by Mi brand
933,The best display in a smartphone ever! Add to that a brilliant camera and super fast performance. Clearly one of the fastest phone available in the market right now. Go for it without any second thoughts.
934,Battery life poor
935,The touch quality and screen resolution are superb. The only disadvantage is that the device is little bit bulky to carry as compared to the previous products from one plus
936,"It's speed and processers can't be matched.Money worth product.Apple,Samsung, or any brand is not even touching this one in this range...Happy to have it."
937,This product is as good as the hype created ...only one drawback which I felt not good Earphones port ....it's very painful without it...
938,"Best Product... Value for Money.... Great Built Quality, Smooth screen Decent battery life ... 30W fast charge.... Camera would have been great .... Overall good phone 😎👌"
939,One of the best phone according to prize range .good camera quality battery life and one of the fast response.amazing display but having some heat issue which may later can be fixed
940,Fingerprint is very speedy...camera quality is 8 out of 10 and battery backup is awesome yaar..Most Beautiful thing of this mob is Its Display..u ll never settle about it...
941,Overall good just battery life more improve needCamera function also need improvement
942,It's amazing mobile for gaming
943,"I'm obsessed. Not a flagship killer anymore, rather it's a flagship now....the update are quite fast, and camera quality is getting better with updates...only negetive is little heavy to hold....rest are ""perfection"""
944,Best display ever and performance 👌 . Battery could have been better.. It's awesome for one day use and chargesto 100quickly in 1hour
945,Hardly any change from the previous version except the pop up camera. 50k plus for this phone is way pricy. 1+ anyway hurts the emotions by bringing new model every now and then
946,Really fastest mobile in world. It has proved it.
947,Overall good but wait havay
948,Good  quality & performance.Nice look.
949,I loved everything!💝Camera quality is next level💯👌Battery life is Crazyy. Sooo goodOnly thing that disappoints me is the fingerprint reader. It's doesn't seem working nice.
950,Fingerprint Sensor is pretty fast and accurate.Camera is upto mark.. but what can u xpct in this range.Battery life is gud.. depends upon the usage and how u charge frequently.
951,What a Phone ...it's a beautiful creation.
952,"One Plus 7 Pro is very good performance.  Phone battery is good backup, Display is best Quality , Cameras Quality is best every as i say every thing is good i will give 5 stars ."
953,Everything is going good as of now. Really like the interface. Camera is good too. Nebula blue color shines and looks pretty good. Didn't think the color would be so good looking
954,Too poor product
955,Excillent Product....Battery management can be improved..Camera can be impoved...Overal 9.8/10
956,"Nice camera, fingerprint,and parformanceDesign is sooo cool and styles.Thanks Amazon."
957,My life is best OnePlus phone very good mobile phone thank you amazon
958,worst mobile of my lifebad fingerprint scannerbad batteryno near service center
959,the camera nightscape mode is just awesome.fingerprint sensor and the face unlock are the usp's for this handset.
960,The phone just restarted and got stuck..Customer care call me asap !
961,Camera is good... But not dat awesome which was expected... Fingureprint sensor is too bad it doesnt recognize even after 3-4 tries... Battery life is great...
962,No word... its beyond my imagination... without any hesitation you guys just go for it... excellent phone...
963,Super ! Allahamdulliah I got awesome phone.
964,"This product is worth every penny, the fingerprint reader is out of this world.Collosal Camera quality. One of the best cameras. Selfies are so crisp and accurateAmazing phone"
965,"Got the phone delivered in 1 day, phone is very good an fast and looks an feels very premium like the way its designed curved from front side as well as back feels good to hold the phone."
966,"100% good product. The finger print,camera and battery life are extremely good . Above all worth for money paid"
967,phone is fine except the plastic cote has a mark which came with the product as observed. I would like if they give a new perfect product in exchange.
968,Refreshing speed as very best..and fingerprint reader better than other phone camera quality is cool.... battery life is super cool....one plus always the best phone I ever seen
969,"Wonderful premimum phone, with Fabulous in screen Finger print reader, awesome camera quality and better Battery life. Happy to have it and i rank the rating of the phone to 5 Star/5 Star"
970,Little improvement in battery life is very important
971,"One of the bestest phone....camera, battery, and best thing is the display what a amazing display it has...great phone..and thanks to Amazon for delivering it in good and fast"
972,"OnePlus 7pro almond colour is excellent and speed superb and camera excellent fingerprint good and battery also good, display is very smooth and quality is good,OnePlus is very good in speed performance."
973,"Great, without mistake you can go for it"
974,"Its an awesome plus ultra phone....awesome pictures clarity awesome sound clarity , makkhan performance u will fall in love again...😍😍😍"
975,Nice but not perfect
976,Nothing matches this phone in the price range. Camera can be improved but is still good in well lighted environments. Battery life is a definite advantage.
977,Everything is just suuuppppeeeerrrr about this phone.The only cons is...it's not waterproof(submersible)
978,"I genuinely liked the product , so beautiful designed with perfect edges  and performance wise also a killer,,, something everyone would fancy 😁 and yesss easily delivered also☺️😄👍"
979,Everything is ok as money quated Is more and frankly saying there is lot of bugs in this as m facing the issue while I'm on call there is so much of accidental touches I can't believe
980,Best quality product...I really like it...even better than Galaxy s 10 plus....as I won both of them..  go for it..
981,"Phone is just amazingIf you want to buy a flagship phone and don't wanna spend money on apple, just go for this one."
982,Fingerprint reader is fast. Camera is awesome 👌👌 👌. Battery is good.
983,Best smartphone in market right now believe me it's worth buying everything is perfect and top notch screen is so crisp and vibrant OnePlus has done great job with this phone
984,"Battery is not up to good, if u using in 90 hz and high definition, otherwise otherthings r excellant"
985,"Fingerprint reader is lightning fast,Camera quality and both rear and front present clear and flawless clarity,battery is also pretty good even though with this performance."
986,"Superb product. I have been using this for almost 2 months years. Good battery life, awesome display. One plus never disappoints.Never Settle 🤟"
987,Slow motion videos not clear it shows some reflection while taking slow motion video.
988,"I have no words for this device. This piece from onePlus is damn amazing. From battery, to camera, to 90Hz display. I just loved it all. Go for it iif you are ready to spend near 50K."
989,"Simply amazing. This is the only thing that I have to say. After using this device for 3 days, I must admit this is so far the best android device that one can buy."
990,All in one . I mean all the best feature in one mobile . It’s amazing 1+  boom all the other brands.
991,"good design, bit slippery camera is ultimate, sound quality is awesome but not worth of 49000 some time it hangs"
992,Nice and beautiful
993,"It was like my dream phone come true, really love one plus, especially the camera😍"
994,Best phone for Gaming and handling many apps simultaneously. There is no lag. The 90Hz refresh rate is very much helpful in game like PUBG. Wide Angle camera is so much clear and good.
995,It is not worth for money
996,1)Camera photo quality is inferior in comparison to galaxy s9 plus photos.2)screen legibility under the sun  is above average but is not excellent.
997,"After using 154 days I am writing this review. All good till now battery, display, speed, sound , fingerprint, OxygenOS everything awesome except camera."
998,A bit heavier than expected. Great quality. Beautiful body. Best camera. I was using One Plus 5t before so i found the battery life to be less than that.
999,Never had lag issues and the display quality is just great. Camera is much of a attraction but if you are not a selfie addict then it will just work fine for you.
1000,Best display in the market you can buy with 90hz it phone is a beast. fingers print is fast but not secure .face unlock is also fast but not secure
1001,Yes the waiting is over good phone in Android..first time using Android phone.. everything is perfect condition...if ur using 7 to 8 hours still battery 20 % is here I like it....
1002,Overal very good
1003,"Phone has amazing features.Get good photos in day light, but the quality degrades in low light. Not happy after comparing the quality with Pixel."
1004,One of the best device I have used till date.  The phone specs are too good. I have been a regular customer of one plus and I just love their products.
1005,"Apart from the weight, everything fine. One of the best phones I have ever used."
1006,"Superb phone ,dynamic features ,if anybady is willing spend money then it is worth to buy"
1007,Screen Guard ws already fitted but still within 2 days it got air bubbwin that.. Please look into the matter.No any other players can play any video except in built video player
1008,After usning OnePlus 7 pro from last 30 days i can honestly say i have made best decision
1009,The looks and the performance.....mind blowing...
1010,Good looking phone with great screen satisfied with the product lets see in long run
1011,"Camera quality is awesome, basically m d one who craze about cameras n new mobiles"
1012,"PUBG in choppy, I forced to play in smooth +extreme setting. HDR+High frame rate lags. Even my old one plus6 handled that very good"
1013,I recently switched from samsung to one plus after 8 years of using samsung it's nice and very good OSNICE SPEED AND you can enjoy the camera modes in pro style
1014,Very poor quality and poor battery performanceHeavy heating issues
1015,Awesome Camera and Display is 👌👌👌Avarage battery BackupWith good UpdatesGot with Amazon Now 2hrs delivery 🔥🔥 service
1016,The phone build up quality is the bestThis phone is the best piece from oneplusBut the battery sometime heats up while charging
1017,"After lots of comparisons i bought it, It worth every single penny. I love it"
1018,"As i Know the One Plus Quality , such Different than onthes brand , My one of i loved one plus is Os."
1019,Very heavy and difficult to use with one hand
1020,Camera hardware is excellent however it's getting let down by poor software
1021,Unable to even start the phone. Some internal issue. Just opened pack but cannot start the phone.
1022,Yea really this is toooo much amazing phone
1023,"Product is good but batter back up is not good , earlier I was using 6t & the battery works upto evening but 7 pro battery drains till evening"
1024,"It's a beast for swiftness & speed. No issues till now. Great display. Though more bigger battery capacity might have been welcomed, on regular use last a day."
1025,I requested amazon for our phone problem pls replace but one peson came restart phone give meStill Phone same problem . many times call to amazon and informed no use
1026,Android top one mobile nice one
1027,Phone is very good and working smoothly.Battery is 4000mah but battery is draining fast . Have to charge twice in a day
1028,Awesome product worth having
1029,The battery is not upto the mark it drains very fast . my OnePlus 6 which is more than one year old has better battery life. I complained in one plus also. Disappointed.
1030,"Wonderful set, processor is very fast. Camera quality is also good."
1031,I like the design and the display. But the camera and battery life was a bit disappointing
1032,Nice but over Price .......
1033,"The Handset is not Giving Proper battery Back Up , it get heated up , It Performs slowly.I jad purchased new One Plus handset .Want to Replace it."
1034,"Best Android phone I've used so far. Camera quality is good too, plus it also has a night mode which let's you get a clear photo without using flashlights. I'm satisfied."
1035,The one plus 7 pro lives up to it's expectations.Though I feel there is a bit of lag in finger print sensor.Camera is of high quality and battery life is good
1036,Awesome Mobile
1037,Superb phone... working very smooth without any issue.
1038,"Camera is excelent with best in clarity, very comfort to hold,very cute in  looking. Battery is going very fast discharge .not liking there is no pocket locking."
1039,"90 hz full screen without notch is wonderful, prefomance to baap h bido aankh band kr le lelo"
1040,No direct video call and camera quality is not good as per price. Fingerprint reader also not wprl sometimes. Look and shape of phone is excellent but phoje is not good.
1041,This phone is just awesome. Camera is cool. Battery backup is good.But i miss 3.5 mm jack.
1042,"It fulfilled all my requirements, Curved AMOLED display, Awesome camera and phone performance.Love this device."
1043,One plus needs to work on the camera and battery. A update to control the settings of the edge lighting would be nice.Other than this this phone is better than my friends s10 plus
1044,This smartphone is outstanding at this variant this is really go beyond speed
1045,"Very gud, it's little heavy"
1046,"Good performance , smooth experience . Gaming experience super , heats up when using maps . Fixes are regularly recieved with frequent updates"
1047,Nice product made by OnePlus. Excellent performance and display but battery backup need to improve.over all i would give 4.7 out of 5
1048,OnePlus mobiles always superb battery backup was good camera awesome performance good everything is good but price is high little bit
1049,Camera very bad
1050,"Superb,I am user of I phone x,but compare this phone is super fast, camera is also very good"
1051,Fingerprint reader is not upto the mark. Camera is good. Battery life is also good. But the phone is clearly overrated
1052,Flagship product with flagship performance
1053,Love this phone!!!
1054,Happy for having this phone it's been 1 month and I'm totally in love 🥰🥰 but only problem is with screen guard because of curved edges.
1055,Super sell phone
1056,"One of the best premium smartphone in this period..very fast performance, good camera , excellent display"
1057,Really disappointed..phone takes long time to charge..voice is not clear.. it's too heavy
1058,Awesome product OnePlus!! You never disappoint us... Infact you always outclass our expectations! Genuinely a great brand and premium products❤️
1059,This phone is realy a good phone. Battery quality is very good and screen is very smooth. But camera quality is not very good . Finally the phone is very very goid.
1060,Sometimes finger print not working fast. Camera improvements requires in some areas. Battery life is not as much as expected
1061,"I am using phone from last 10 days performance is really good , display is unexpected i am enjoying the phone , if you budget is 40k than go for it without any double.."
1062,No problem the product is amazing...comes with super packing and as a fresh material..but the company should also give earphones along with it as well or a connector!!!
1063,Best smartphone of the yearFor sureYou should buy 1Its very very smooth and fast...User interface is brilliant...!!Great work OnePlus...!!
1064,Yes it's a great phone but could have been better for it's price! It's cam and fingerprint aren't that great! It's battery lasts a day and it also charges very quickly!
1065,Finger print is slight slow but satisfied with camera clarity and battery life
1066,Need to increase battery life
1067,Quality Product!! Worth the buy!! Real FlagshipDisplay is pretty superb!!!
1068,Excellent
1069,Not waterproof bloody hell mobile waste of money fake advertising of waterproof ness
1070,"It has been over a month since I am using the device. It certainly live up to its tagline ""beyond speed"". Awesome performance and display. May have been better on camera quality, still it's pretty great."
1071,Headphones ?
1072,Screen guard from top left corner was not fixed properly. It gets a bubble like view on the screen was very happy for the delivery but this bubble effect made upset.
1073,Best in terms of performance but heavyweight any thickness.
1074,Excellent product
1075,Oneplus name is enough to say all no need to write anything. I am very happy with this product. Good quality product. 😊
1076,My phone was working very well till now but last night it suddenly shut down & till now I am unable to restart.Rebooting is also not possible. Kindly help
1077,Recently it's updated android 10.  But performance is not up to the mark.
1078,This is Awesome mobile.... camera quality is well nd gud..no words about fingerprint reader. Battery Life is best.totally awesome mobile. Best Mobile in 2019...
1079,"Fingerprint aswome, popup camera quality extadinary performance after defect fixes, battery good .Bad: it lacks wireless charging And headphone jack"
1080,"Finger print takes too much time to scan and open.Battery doesn't charges fast, slower than older oneplus phones"
1081,"Battery life is a bit short, but not exactly dissatisfactory. But overall it is amazing!"
1082,Phone is super only thing its too heavy to carry but it's super as said never settled and super duper super fast
1083,Awesome  phone
1084,"Setup installation is failed, attached are the images,kindly replace"
1085,Excellent
1086,Excellent phone.
1087,Microphone sound recording more loudness.. I want to return this item.. here not options.. I'm not satisfied with this phone..
1088,Worst item I have ever purchased  mobile is dead not working at all
1089,Best Design and Performance
1090,It’s a super phone. Incredibly fast and reliable. Display and camera are world class. I am happy I actually ordered this phone. Thank you Amazon!
1091,New style fingerprint reader but not that much awesomeness. Camera very good. Battery is ok ok..
1092,Camera  is not good and we didn't get head phones and car charger too
1093,"Camera is awesome, touch also good ."
1094,✌🏻
1095,Awesome Oneplus7pro as usual Oneplus 7pro is actually very fast working but It's  bit heavy in weight rest No comparison with other Phone
